product_id,category,price,rating,review_count,product_description,customer_review,recommendation
1,"Electronics",299.99,4.5,127,"High-quality wireless headphones with noise cancellation and 30-hour battery life. Features premium sound quality and comfortable design for all-day use.","These headphones are amazing! The sound quality is crystal clear and the noise cancellation works perfectly. Very comfortable to wear for long periods. Battery life is excellent.","recommend"
2,"Clothing",49.99,3.2,89,"Comfortable cotton t-shirt with modern fit and soft fabric. Available in multiple colors and sizes. Perfect for casual wear.","The shirt is okay but the quality isn't great. The fabric feels cheap and the fit is not as described. For the price, I expected better quality.","not_recommend"
3,"Home",199.99,4.8,203,"Smart home device that controls lighting, temperature, and security. Easy setup with mobile app and voice control compatibility.","This smart home device has transformed my house! Setup was incredibly easy and the app works flawlessly. Great value for money and excellent customer support.","highly_recommend"
4,"Books",24.99,4.1,156,"Bestselling novel with compelling characters and gripping plot. Perfect for book clubs and individual reading.","Good book with interesting characters and plot twists. The writing style is engaging and keeps you reading. Some parts drag but overall enjoyable.","recommend"
5,"Sports",89.99,2.8,67,"Professional-grade sports equipment designed for serious athletes. Durable construction and ergonomic design.","Disappointed with this product. The quality is poor and it broke after just a few uses. Not worth the money and would not recommend to anyone.","not_recommend"
6,"Beauty",34.99,4.6,189,"Premium skincare product with natural ingredients. Reduces signs of aging and improves skin texture.","Love this skincare product! My skin looks and feels amazing after using it. The ingredients are high quality and it's worth every penny.","highly_recommend"
7,"Toys",79.99,4.3,134,"Educational toy that promotes learning through play. Safe materials and age-appropriate design for children 3-8 years.","Great educational toy! My kids love playing with it and I can see they're learning while having fun. Well-made and durable.","recommend"
8,"Kitchen",149.99,3.5,98,"High-quality kitchen appliance that makes cooking easier and more efficient. Stainless steel construction and easy cleaning.","Decent kitchen appliance but not exceptional. It works as advertised but the build quality could be better. Good for the price point.","maybe_recommend"
9,"Electronics",599.99,4.9,287,"Latest smartphone with advanced camera system and all-day battery life. Premium design and cutting-edge technology.","Outstanding smartphone! The camera quality is incredible and the battery lasts all day. The design is beautiful and the performance is flawless.","highly_recommend"
10,"Clothing",79.99,3.7,112,"Stylish jacket with weather-resistant material and modern design. Perfect for outdoor activities and casual wear.","Nice jacket but the sizing runs small. The material is good quality but the fit isn't quite right. Would be better with accurate sizing.","maybe_recommend"
11,"Home",299.99,4.4,178,"Smart lighting system with customizable colors and brightness. Easy installation and app control for convenience.","Great smart lighting system! The colors are vibrant and the app is user-friendly. Installation was straightforward and it works perfectly.","recommend"
12,"Books",19.99,3.9,143,"Self-help book with practical advice and actionable strategies. Written by industry expert with proven methods.","Helpful book with good advice but some of the strategies are common sense. Worth reading if you're new to the topic.","recommend"
13,"Sports",129.99,4.7,245,"Professional sports equipment with advanced technology and superior performance. Used by professional athletes worldwide.","Excellent sports equipment! The quality is top-notch and the performance improvement is noticeable. Worth the investment for serious athletes.","highly_recommend"
14,"Beauty",29.99,3.1,87,"Affordable beauty product with natural ingredients and gentle formula. Suitable for all skin types and sensitive skin.","Average beauty product. It works okay but doesn't provide the results I was hoping for. The price is reasonable but the quality is just okay.","maybe_recommend"
15,"Toys",59.99,4.5,167,"Interactive toy that encourages creativity and imagination. Safe materials and engaging design for children.","Fantastic toy! My child absolutely loves it and it keeps them entertained for hours. The quality is excellent and it's very durable.","highly_recommend"
16,"Kitchen",89.99,2.9,76,"Kitchen tool designed to make food preparation easier and more efficient. Durable construction and easy maintenance.","Poor quality kitchen tool. It doesn't work as advertised and feels cheaply made. Not worth the money and would not recommend.","not_recommend"
17,"Electronics",399.99,4.6,198,"High-performance laptop with fast processing and long battery life. Perfect for work and entertainment.","Great laptop! The performance is excellent and the battery life is impressive. The build quality is solid and it's worth the price.","recommend"
18,"Clothing",39.99,4.0,124,"Comfortable jeans with modern fit and durable denim. Available in various washes and sizes for everyone.","Good jeans with decent quality. The fit is comfortable and the material feels durable. Good value for the price point.","recommend"
19,"Home",179.99,4.2,145,"Home decor item that adds style and functionality to any room. Modern design and high-quality materials.","Nice home decor item! It looks great in my living room and the quality is good. The design is modern and it fits well with my decor.","recommend"
20,"Books",32.99,4.4,189,"Comprehensive guide with expert advice and detailed instructions. Perfect for beginners and advanced users alike.","Excellent guide! The information is comprehensive and well-organized. The instructions are clear and easy to follow. Highly recommended.","highly_recommend"
