customer_id,age,income,product_rating,service_rating,feedback_text,complaint_category,recommendation
1,25,45000,4,5,"The product exceeded my expectations. Great quality and fast delivery. Will definitely buy again!","positive","highly_recommend"
2,34,62000,2,1,"Very disappointed with the service. Product arrived damaged and customer support was unhelpful.","negative","not_recommend"
3,28,38000,5,4,"Amazing experience! The team was professional and the product quality is outstanding.","positive","highly_recommend"
4,45,78000,3,3,"Average product, nothing special. Service was okay but could be better.","neutral","maybe_recommend"
5,22,32000,4,4,"Good value for money. Quick delivery and product works as expected.","positive","recommend"
6,56,95000,1,2,"Terrible experience. Product broke after one week and getting a refund was a nightmare.","negative","not_recommend"
7,31,55000,5,5,"Outstanding service and product quality. The team went above and beyond to help me.","positive","highly_recommend"
8,29,42000,3,2,"Product is okay but customer service needs improvement. Had to wait too long for responses.","neutral","maybe_recommend"
9,38,68000,4,4,"Good overall experience. Product quality is solid and delivery was on time.","positive","recommend"
10,27,35000,2,3,"Not satisfied with the purchase. Product doesn't match the description and feels cheap.","negative","not_recommend"
11,41,72000,5,5,"Exceptional service! The product is exactly what I needed and the support team was fantastic.","positive","highly_recommend"
12,33,58000,3,3,"Decent product but nothing extraordinary. Service was average, could be more responsive.","neutral","maybe_recommend"
13,26,40000,4,4,"Happy with the purchase. Good quality product and reasonable price.","positive","recommend"
14,49,82000,1,1,"Worst experience ever. Product was defective and customer service was rude and unhelpful.","negative","not_recommend"
15,30,48000,5,4,"Love this product! Great quality and the customer service team was very helpful.","positive","highly_recommend"
16,35,65000,3,3,"Average experience. Product works but nothing special. Service was okay.","neutral","maybe_recommend"
17,24,30000,4,5,"Great product at a good price. Fast shipping and excellent customer support.","positive","recommend"
18,42,75000,2,2,"Disappointed with the quality. Product doesn't last long and customer service is slow.","negative","not_recommend"
19,28,45000,5,5,"Perfect! Everything exceeded my expectations. Will definitely purchase again.","positive","highly_recommend"
20,36,60000,3,3,"It's okay. Product is decent but service could be better. Not sure if I'd buy again.","neutral","maybe_recommend"
21,31,52000,4,4,"Good product overall. Quality is solid and delivery was prompt.","positive","recommend"
22,44,78000,1,2,"Very poor experience. Product was not as advertised and getting help was difficult.","negative","not_recommend"
23,29,41000,5,5,"Amazing product and service! The team was professional and helpful throughout.","positive","highly_recommend"
24,37,67000,3,3,"Decent product but nothing exceptional. Service was average.","neutral","maybe_recommend"
25,25,35000,4,4,"Satisfied with the purchase. Good value for money and fast delivery.","positive","recommend"
26,48,85000,2,1,"Poor quality product and terrible customer service. Would not recommend to anyone.","negative","not_recommend"
27,32,54000,5,5,"Excellent experience! Product quality is top-notch and service is outstanding.","positive","highly_recommend"
28,39,71000,3,3,"Average product with average service. Nothing special but gets the job done.","neutral","maybe_recommend"
29,27,38000,4,4,"Good product, happy with the purchase. Delivery was quick and product works well.","positive","recommend"
30,46,80000,1,2,"Waste of money. Product broke immediately and customer service was unresponsive.","negative","not_recommend"
